predictions_file,average_scores_by_image,pearson_r_true_v_predicted,p_value
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_maskn_maskv_maskadj_maskadv_person_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.99E-02,5.42E-04
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_maskn_maskv_maskadj_maskadv_vehicle_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,7.74E-02,7.25E-09
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_maskn_maskv_maskadj_maskadv_outdoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.26E-02,5.21E-01
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_maskn_maskv_maskadj_maskadv_animal_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,9.60E-02,4.71E-12
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_maskn_maskv_maskadj_maskadv_accessory_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.08E-02,5.11E-01
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_maskn_maskv_maskadj_maskadv_sports_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,7.17E-02,5.50E-07
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_maskn_maskv_maskadj_maskadv_kitchen_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.75E-02,2.35E-01
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_maskn_maskv_maskadj_maskadv_food_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.44E-02,3.94E-01
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_maskn_maskv_maskadj_maskadv_furniture_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,6.18E-02,7.46E-07
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_maskn_maskv_maskadj_maskadv_electronic_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,8.97E-02,4.76E-06
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_maskn_maskv_maskadj_maskadv_appliance_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,4.15E-02,7.90E-02
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_maskn_maskv_maskadj_maskadv_indoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,6.15E-02,3.60E-04
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_maskn_maskv_maskadj_maskadv_full_set_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,5.80E-02,4.63E-20
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_maskn_maskv_maskadj_maskadv_person_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.64E-01,5.62E-212
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_maskn_maskv_maskadj_maskadv_vehicle_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.03E-01,9.38E-53
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_maskn_maskv_maskadj_maskadv_outdoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.61E-01,2.25E-16
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_maskn_maskv_maskadj_maskadv_animal_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.45E-01,7.91E-26
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_maskn_maskv_maskadj_maskadv_accessory_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,3.23E-01,4.19E-91
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_maskn_maskv_maskadj_maskadv_sports_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.34E-01,9.27E-62
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_maskn_maskv_maskadj_maskadv_kitchen_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.13E-01,1.99E-48
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_maskn_maskv_maskadj_maskadv_food_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.72E-01,1.49E-24
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_maskn_maskv_maskadj_maskadv_furniture_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.35E-01,2.60E-81
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_maskn_maskv_maskadj_maskadv_electronic_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.67E-01,9.37E-18
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_maskn_maskv_maskadj_maskadv_appliance_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.97E-01,3.82E-17
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_maskn_maskv_maskadj_maskadv_indoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.11E-01,3.43E-35
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_maskn_maskv_maskadj_maskadv_full_set_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.30E-01,3.46E-297
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_maskn_maskv_maskadj_maskadv_person_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.44E-01,3.42E-181
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_maskn_maskv_maskadj_maskadv_vehicle_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.71E-01,1.30E-37
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_maskn_maskv_maskadj_maskadv_outdoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.10E-01,2.19E-08
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_maskn_maskv_maskadj_maskadv_animal_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.39E-01,7.80E-24
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_maskn_maskv_maskadj_maskadv_accessory_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.78E-01,1.01E-27
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_maskn_maskv_maskadj_maskadv_sports_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,3.71E-01,9.93E-159
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_maskn_maskv_maskadj_maskadv_kitchen_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.03E-01,2.22E-12
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_maskn_maskv_maskadj_maskadv_food_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,9.39E-02,2.54E-08
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_maskn_maskv_maskadj_maskadv_furniture_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.22E-01,1.24E-22
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_maskn_maskv_maskadj_maskadv_electronic_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,9.31E-02,2.04E-06
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_maskn_maskv_maskadj_maskadv_appliance_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,5.23E-02,2.67E-02
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_maskn_maskv_maskadj_maskadv_indoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.19E-01,4.84E-12
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_maskn_maskv_maskadj_maskadv_full_set_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.01E-01,1.24E-225
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_maskn_maskv_maskadj_maskadv_person_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.63E-01,4.36E-80
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_maskn_maskv_maskadj_maskadv_vehicle_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.67E-01,4.48E-36
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_maskn_maskv_maskadj_maskadv_outdoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.71E-01,2.91E-18
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_maskn_maskv_maskadj_maskadv_animal_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.14E-01,1.74E-16
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_maskn_maskv_maskadj_maskadv_accessory_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.50E-01,3.87E-54
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_maskn_maskv_maskadj_maskadv_sports_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.37E-01,8.10E-22
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_maskn_maskv_maskadj_maskadv_kitchen_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,3.21E-01,2.34E-110
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_maskn_maskv_maskadj_maskadv_food_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.48E-01,2.48E-50
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_maskn_maskv_maskadj_maskadv_furniture_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,3.27E-01,2.94E-159
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_maskn_maskv_maskadj_maskadv_electronic_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.05E-01,4.93E-26
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_maskn_maskv_maskadj_maskadv_appliance_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,3.04E-01,1.23E-39
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_maskn_maskv_maskadj_maskadv_indoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.03E-01,1.23E-32
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_maskn_maskv_maskadj_maskadv_full_set_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.92E-01,3.56E-205
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_maskn_maskv_maskadj_maskadv_person_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.64E-01,3.90E-81
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_maskn_maskv_maskadj_maskadv_vehicle_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.13E-01,3.04E-17
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_maskn_maskv_maskadj_maskadv_outdoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.17E-01,2.36E-09
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_maskn_maskv_maskadj_maskadv_animal_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,9.04E-02,7.49E-11
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_maskn_maskv_maskadj_maskadv_accessory_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.95E-01,2.58E-33
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_maskn_maskv_maskadj_maskadv_sports_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.18E-01,1.64E-16
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_maskn_maskv_maskadj_maskadv_kitchen_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.26E-01,4.54E-54
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_maskn_maskv_maskadj_maskadv_food_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.75E-01,4.64E-62
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_maskn_maskv_maskadj_maskadv_furniture_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.29E-01,4.06E-77
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_maskn_maskv_maskadj_maskadv_electronic_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.69E-01,3.86E-18
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_maskn_maskv_maskadj_maskadv_appliance_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.91E-01,3.92E-16
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_maskn_maskv_maskadj_maskadv_indoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.82E-01,2.43E-26
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_maskn_maskv_maskadj_maskadv_full_set_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.66E-01,1.45E-154
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_maskn_maskv_maskadj_maskadv_person_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.83E-01,9.64E-101
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_maskn_maskv_maskadj_maskadv_vehicle_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.86E-01,1.08E-44
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_maskn_maskv_maskadj_maskadv_outdoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.87E-01,1.10E-21
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_maskn_maskv_maskadj_maskadv_animal_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.39E-01,1.18E-23
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_maskn_maskv_maskadj_maskadv_accessory_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.49E-01,1.90E-53
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_maskn_maskv_maskadj_maskadv_sports_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.81E-01,5.67E-37
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_maskn_maskv_maskadj_maskadv_kitchen_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,3.25E-01,3.88E-113
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_maskn_maskv_maskadj_maskadv_food_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.31E-01,1.50E-43
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_maskn_maskv_maskadj_maskadv_furniture_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,3.72E-01,1.73E-209
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_maskn_maskv_maskadj_maskadv_electronic_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.99E-01,1.14E-24
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_maskn_maskv_maskadj_maskadv_appliance_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,3.38E-01,4.71E-49
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_maskn_maskv_maskadj_maskadv_indoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.44E-01,9.75E-47
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_maskn_maskv_maskadj_maskadv_full_set_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.19E-01,2.83E-270
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_maskn_maskv_maskadj_maskadv_person_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.90E-01,1.83E-108
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_maskn_maskv_maskadj_maskadv_vehicle_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.62E-01,5.71E-34
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_maskn_maskv_maskadj_maskadv_outdoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.43E-01,3.02E-13
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_maskn_maskv_maskadj_maskadv_animal_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,9.64E-02,3.69E-12
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_maskn_maskv_maskadj_maskadv_accessory_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.35E-01,6.49E-48
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_maskn_maskv_maskadj_maskadv_sports_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,9.12E-02,1.78E-10
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_maskn_maskv_maskadj_maskadv_kitchen_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.46E-01,4.66E-64
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_maskn_maskv_maskadj_maskadv_food_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.20E-01,1.34E-39
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_maskn_maskv_maskadj_maskadv_furniture_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.44E-01,1.33E-87
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_maskn_maskv_maskadj_maskadv_electronic_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.46E-01,3.50E-37
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_maskn_maskv_maskadj_maskadv_appliance_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.11E-01,1.94E-19
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_maskn_maskv_maskadj_maskadv_indoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.36E-01,8.75E-44
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_maskn_maskv_maskadj_maskadv_full_set_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.87E-01,6.77E-195
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_maskn_maskv_maskadj_maskadv_person_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.18E-01,1.06E-42
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_maskn_maskv_maskadj_maskadv_vehicle_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.37E-01,1.21E-24
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_maskn_maskv_maskadj_maskadv_outdoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.66E-01,1.99E-17
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_maskn_maskv_maskadj_maskadv_animal_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.16E-01,6.66E-17
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_maskn_maskv_maskadj_maskadv_accessory_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.18E-01,3.03E-41
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_maskn_maskv_maskadj_maskadv_sports_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,9.76E-02,8.84E-12
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_maskn_maskv_maskadj_maskadv_kitchen_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.74E-01,1.27E-79
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_maskn_maskv_maskadj_maskadv_food_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.79E-01,1.03E-26
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_maskn_maskv_maskadj_maskadv_furniture_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,3.09E-01,4.16E-142
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_maskn_maskv_maskadj_maskadv_electronic_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.87E-01,8.33E-22
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_maskn_maskv_maskadj_maskadv_appliance_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,3.44E-01,8.66E-51
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_maskn_maskv_maskadj_maskadv_indoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.86E-01,1.46E-27
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_maskn_maskv_maskadj_maskadv_full_set_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.54E-01,4.47E-133
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_maskn_maskv_maskadj_maskadv_person_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.83E-01,1.19E-101
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_maskn_maskv_maskadj_maskadv_vehicle_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.93E-01,1.20E-47
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_maskn_maskv_maskadj_maskadv_outdoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.59E-01,5.15E-16
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_maskn_maskv_maskadj_maskadv_animal_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.28E-01,2.67E-20
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_maskn_maskv_maskadj_maskadv_accessory_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.36E-01,3.35E-48
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_maskn_maskv_maskadj_maskadv_sports_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,9.47E-02,3.59E-11
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_maskn_maskv_maskadj_maskadv_kitchen_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.76E-01,6.00E-81
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_maskn_maskv_maskadj_maskadv_food_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.28E-01,1.62E-42
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_maskn_maskv_maskadj_maskadv_furniture_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.92E-01,2.67E-126
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_maskn_maskv_maskadj_maskadv_electronic_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.17E-01,5.72E-29
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_maskn_maskv_maskadj_maskadv_appliance_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.88E-01,1.22E-35
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_maskn_maskv_maskadj_maskadv_indoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,3.01E-01,2.18E-71
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_maskn_maskv_maskadj_maskadv_full_set_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.01E-01,9.83E-226
predictions/predictions_best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set_accessory_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,3.09E-01,4.91E-83
predictions/predictions_best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set_animal_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.18E-01,1.22E-56
predictions/predictions_best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set_appliance_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.68E-01,9.09E-31
predictions/predictions_best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set_electronic_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.84E-01,3.25E-21
predictions/predictions_best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set_food_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.13E-01,2.94E-37
predictions/predictions_best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set_furniture_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,3.22E-01,1.63E-154
predictions/predictions_best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set_indoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.63E-01,4.30E-54
predictions/predictions_best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set_kitchen_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.88E-01,3.22E-88
predictions/predictions_best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set_outdoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.12E-01,1.42E-27
predictions/predictions_best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set_person_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,3.31E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set_sports_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,3.23E-01,6.35E-119
predictions/predictions_best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set_vehicle_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.99E-01,5.32E-115
predictions/predictions_regression_tanh_maskn_full_set.p,0,4.50E-01,0.00E+00
predictions/predictions_regression_tanh_maskn_maskv_full_set.p,0,4.02E-01,0.00E+00
predictions/predictions_regression_tanh_maskn_maskv_maskadj_full_set.p,0,3.31E-01,0.00E+00
predictions/predictions_regression_tanh_maskn_maskv_maskadj_maskadv_full_set.p,0,3.23E-01,0.00E+00

